2,1,790.56,551.39,310.81,511.32,0.8120,-1,-1,-1
2,4,1649.54,461.13,40.73,42.59,0.4756,-1,-1,-1
3,1,786.40,545.24,315.86,519.34,0.7974,-1,-1,-1
3,4,1653.42,460.98,40.15,41.96,0.4130,-1,-1,-1
4,1,784.40,538.44,319.35,524.84,0.8225,-1,-1,-1
4,4,1657.05,459.60,41.22,43.07,0.3752,-1,-1,-1
5,1,786.09,540.28,317.66,521.38,0.8141,-1,-1,-1
5,4,1660.18,458.01,42.52,44.53,0.4365,-1,-1,-1
6,1,788.33,545.52,312.67,511.97,0.8369,-1,-1,-1
6,4,1663.13,457.16,42.78,44.80,1.0000,-1,-1,-1
7,1,792.37,551.04,308.41,504.13,0.8124,-1,-1,-1
7,4,1668.19,457.01,42.24,44.22,0.3623,-1,-1,-1
8,1,789.43,549.22,310.52,507.13,0.8388,-1,-1,-1
8,4,1671.48,456.27,42.36,44.35,1.0000,-1,-1,-1
9,1,787.91,544.17,313.75,511.98,0.8531,-1,-1,-1
9,4,1674.77,455.53,42.49,44.48,1.0000,-1,-1,-1
10,1,786.06,538.42,314.56,513.22,0.8815,-1,-1,-1
10,4,1678.06,454.80,42.61,44.61,1.0000,-1,-1,-1
11,1,786.90,536.61,314.58,513.60,0.8249,-1,-1,-1
11,4,1681.36,454.06,42.73,44.74,1.0000,-1,-1,-1
12,1,784.39,532.23,317.64,519.56,0.7460,-1,-1,-1
12,4,1684.65,453.33,42.86,44.87,1.0000,-1,-1,-1
13,1,786.78,531.48,315.46,516.17,0.7246,-1,-1,-1
13,4,1687.94,452.59,42.98,45.00,1.0000,-1,-1,-1
13,13,760.66,1032.89,48.12,40.09,0.3588,-1,-1,-1
13,14,1775.77,1034.64,50.26,41.21,0.3157,-1,-1,-1
14,1,788.55,532.23,312.13,510.69,0.8091,-1,-1,-1
14,4,1691.23,451.85,43.11,45.13,1.0000,-1,-1,-1
14,13,758.00,1032.06,49.30,41.07,1.0000,-1,-1,-1
14,14,1775.65,1034.18,49.99,41.08,0.3061,-1,-1,-1
15,1,791.34,534.65,309.18,505.30,0.8071,-1,-1,-1
15,4,1694.52,451.12,43.23,45.26,1.0000,-1,-1,-1
15,13,755.33,1031.23,50.48,42.05,1.0000,-1,-1,-1
15,14,1775.09,1033.07,50.49,41.68,0.4030,-1,-1,-1
16,1,790.65,532.82,310.10,507.09,0.8198,-1,-1,-1
16,4,1697.81,450.38,43.36,45.39,1.0000,-1,-1,-1
16,13,752.67,1030.40,51.66,43.04,1.0000,-1,-1,-1
16,14,1775.16,1031.95,50.43,41.80,0.3651,-1,-1,-1
17,1,790.65,529.51,311.94,510.20,0.8216,-1,-1,-1
17,4,1701.11,449.65,43.48,45.52,1.0000,-1,-1,-1
17,13,750.00,1029.57,52.84,44.02,1.0000,-1,-1,-1
17,14,1775.46,1030.89,50.18,41.87,0.4419,-1,-1,-1
17,19,1218.39,211.78,41.90,47.63,0.3942,-1,-1,-1
18,1,786.88,517.62,316.72,518.85,0.7937,-1,-1,-1
18,4,1704.40,448.91,43.60,45.65,1.0000,-1,-1,-1
18,13,747.34,1028.74,54.02,45.01,1.0000,-1,-1,-1
18,14,1776.52,1029.83,49.44,41.40,0.3440,-1,-1,-1
18,19,1218.77,209.41,41.50,47.18,1.0000,-1,-1,-1
19,1,790.45,522.47,311.97,511.41,0.8096,-1,-1,-1
19,4,1707.69,448.18,43.73,45.78,1.0000,-1,-1,-1
19,13,744.67,1027.91,55.20,45.99,1.0000,-1,-1,-1
19,14,1776.55,1028.99,49.48,41.43,1.0000,-1,-1,-1
19,19,1220.72,198.84,40.65,46.10,0.3365,-1,-1,-1
20,1,792.46,524.49,308.68,505.48,0.7630,-1,-1,-1
20,4,1710.98,447.44,43.85,45.91,1.0000,-1,-1,-1
